Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,19000.000000,20700.000000,18600.000000,20700.000000,13968.110352,2028300
2000-01-05,21000.000000,22500.000000,19500.000000,20800.000000,14035.587891,4091600
2000-01-06,21300.000000,21700.000000,19100.000000,19700.000000,13293.319336,1899300
2000-01-07,20900.000000,21100.000000,20000.000000,20300.000000,13698.194336,2206900
2000-01-10,21500.000000,21600.000000,19750.000000,20000.000000,13495.756836,1931800
2000-01-11,19800.000000,20500.000000,19800.000000,20000.000000,13495.756836,1779000
2000-01-12,20100.000000,20150.000000,19400.000000,19450.000000,13124.625000,1020400
2000-01-13,19500.000000,19800.000000,19000.000000,19500.000000,13158.364258,1245300
2000-01-14,19500.000000,19600.000000,18500.000000,18500.000000,12483.576172,1720400
2000-01-17,19050.000000,19050.000000,18300.000000,18500.000000,12483.576172,2114500
2000-01-18,18500.000000,18500.000000,17600.000000,17800.000000,12011.224609,2558700
2000-01-19,17400.000000,17500.000000,16100.000000,16100.000000,10864.084961,2608400
2000-01-20,15850.000000,16250.000000,14950.000000,16200.000000,10931.564453,2730900
2000-01-21,15900.000000,17400.000000,15500.000000,16200.000000,10931.564453,2835700
2000-01-24,15800.000000,16800.000000,15800.000000,16000.000000,10796.606445,2175700
2000-01-25,15700.000000,16150.000000,15500.000000,15500.000000,10459.211914,1751200
2000-01-26,15500.000000,16100.000000,15300.000000,15950.000000,10762.865234,2038000
2000-01-27,16500.000000,17300.000000,16200.000000,17150.000000,11572.613281,3341400
2000-01-28,17150.000000,17450.000000,16500.000000,16800.000000,11336.437500,2096800
2000-01-31,16600.000000,17350.000000,16400.000000,17100.000000,11538.873047,1725800
2000-02-01,17500.000000,17700.000000,16700.000000,17000.000000,11471.395508,1815100
2000-02-02,17000.000000,18750.000000,16700.000000,18300.000000,12348.619141,4041700
2000-02-03,18500.000000,18800.000000,17650.000000,18550.000000,12517.316406,4235500
2000-02-04,18550.000000,18550.000000,18550.000000,18550.000000,12517.316406,0
2000-02-07,18100.000000,18750.000000,18050.000000,18500.000000,12483.576172,2104800
2000-02-08,18500.000000,19050.000000,18100.000000,18100.000000,12213.662109,2110200
2000-02-09,18000.000000,18250.000000,16800.000000,17000.000000,11471.395508,2244100
2000-02-10,16700.000000,17200.000000,16300.000000,16350.000000,11032.783203,3117200
2000-02-11,16400.000000,16850.000000,15600.000000,15650.000000,10560.431641,2220300
2000-02-14,15200.000000,15500.000000,14600.000000,14650.000000,9885.644531,1836400
2000-02-15,14200.000000,14550.000000,13750.000000,13750.000000,9278.333008,2240500
2000-02-16,14000.000000,14300.000000,13150.000000,14000.000000,9447.030273,2142500
2000-02-17,14400.000000,14900.000000,14000.000000,14500.000000,9784.424805,3180400
2000-02-18,14300.000000,14500.000000,13700.000000,13700.000000,9244.594727,1959000
2000-02-21,13700.000000,13700.000000,12350.000000,12350.000000,8333.631836,2101200
2000-02-22,12050.000000,12550.000000,11650.000000,12200.000000,8232.413086,2215000
2000-02-23,12550.000000,13900.000000,12400.000000,13300.000000,8974.680664,2683000
2000-02-24,13200.000000,13250.000000,12400.000000,12500.000000,8434.851563,1340400
2000-02-25,12150.000000,13900.000000,11850.000000,12900.000000,8704.763672,2855800
2000-02-28,12100.000000,12500.000000,11800.000000,11850.000000,7996.235840,1612000
2000-02-29,12300.000000,12650.000000,11850.000000,12050.000000,8131.194336,2117400
2000-03-01,12050.000000,12050.000000,12050.000000,12050.000000,8131.194336,0
2000-03-02,12550.000000,13450.000000,12350.000000,13200.000000,8907.199219,3646200
2000-03-03,13200.000000,13950.000000,12800.000000,13500.000000,9109.636719,3028800
2000-03-06,13900.000000,15500.000000,13550.000000,15500.000000,10459.211914,4842600
2000-03-07,15600.000000,15750.000000,14300.000000,15000.000000,10121.818359,4832700
2000-03-08,14150.000000,15700.000000,14150.000000,15000.000000,10121.818359,3426300
2000-03-09,15000.000000,15200.000000,14050.000000,14050.000000,9480.771484,2322800
2000-03-10,14500.000000,14600.000000,13550.000000,13600.000000,9177.116211,2108500
2000-03-13,13400.000000,13400.000000,12600.000000,12600.000000,8502.327148,2207100
2000-03-14,12600.000000,13150.000000,12600.000000,12950.000000,8738.501953,1555300
2000-03-15,12500.000000,12850.000000,12300.000000,12700.000000,8569.808594,1080200
2000-03-16,13100.000000,13700.000000,12700.000000,13200.000000,8907.199219,1753600
2000-03-17,14300.000000,14300.000000,13750.000000,13900.000000,9379.552734,3172100
2000-03-20,13900.000000,14300.000000,13600.000000,14000.000000,9447.030273,1357800
2000-03-21,13900.000000,13950.000000,13500.000000,13700.000000,9244.594727,1003800
2000-03-22,14000.000000,14650.000000,13800.000000,14000.000000,9447.030273,1492800
2000-03-23,14000.000000,14200.000000,13550.000000,13600.000000,9177.116211,1079100
2000-03-24,13900.000000,15000.000000,13500.000000,14400.000000,9716.945313,2057900
