Date,Open,High,Low,Close,Adj Close,Volume
2015-08-14,205000.000000,205000.000000,205000.000000,205000.000000,196804.609375,0
2015-08-17,205000.000000,207000.000000,202500.000000,204000.000000,195844.593750,153548
2015-08-18,206000.000000,210500.000000,205000.000000,209500.000000,201124.718750,173025
2015-08-19,209000.000000,211000.000000,205500.000000,208500.000000,200164.703125,247791
2015-08-20,205500.000000,207500.000000,201000.000000,204500.000000,196324.609375,245844
2015-08-21,200000.000000,203000.000000,196000.000000,200500.000000,192484.515625,234566
2015-08-24,197500.000000,200500.000000,190500.000000,194500.000000,186724.375000,196927
2015-08-25,195000.000000,205000.000000,191000.000000,198000.000000,190084.453125,263719
2015-08-26,196500.000000,204500.000000,196000.000000,203500.000000,195364.593750,247975
2015-08-27,204500.000000,206000.000000,200000.000000,200500.000000,192484.515625,210775
2015-08-28,200000.000000,203000.000000,198000.000000,201500.000000,193444.531250,215120
2015-08-31,201000.000000,206500.000000,200000.000000,206500.000000,198244.640625,238969
2015-09-01,204500.000000,206500.000000,201500.000000,203000.000000,194884.562500,125550
2015-09-02,200500.000000,209500.000000,200000.000000,207000.000000,198724.656250,169752
2015-09-03,207000.000000,209000.000000,205500.000000,207000.000000,198724.656250,139759
2015-09-04,207000.000000,209000.000000,204000.000000,204500.000000,196324.609375,132974
2015-09-07,203500.000000,209000.000000,203500.000000,208500.000000,200164.703125,154407
2015-09-08,210000.000000,212500.000000,208500.000000,211500.000000,203044.750000,239802
2015-09-09,214000.000000,216500.000000,211500.000000,216000.000000,207364.859375,254858
2015-09-10,215000.000000,219000.000000,213500.000000,217000.000000,208324.890625,225768
2015-09-11,213500.000000,216500.000000,213000.000000,214500.000000,205924.828125,156216
2015-09-14,215500.000000,215500.000000,209500.000000,214500.000000,205924.828125,108861
2015-09-15,214500.000000,215500.000000,212000.000000,213500.000000,204964.812500,122502
2015-09-16,212500.000000,220000.000000,212500.000000,219000.000000,210244.921875,306579
2015-09-17,221000.000000,221000.000000,211500.000000,213000.000000,204484.781250,298287
2015-09-18,213000.000000,213000.000000,209000.000000,210000.000000,201604.734375,238752
2015-09-21,209500.000000,211500.000000,206500.000000,207500.000000,199204.671875,138428
2015-09-22,208500.000000,218500.000000,208500.000000,218000.000000,209284.890625,292900
2015-09-23,215500.000000,217500.000000,211500.000000,212500.000000,204004.781250,177152
2015-09-24,221000.000000,225000.000000,215000.000000,215000.000000,206404.843750,454289
2015-09-25,217500.000000,224500.000000,217500.000000,222500.000000,213605.015625,344487
2015-09-30,222500.000000,232500.000000,219000.000000,231500.000000,222245.203125,436261
2015-10-01,229000.000000,236500.000000,229000.000000,234500.000000,225125.281250,210914
2015-10-02,234000.000000,237000.000000,231500.000000,234500.000000,225125.281250,170466
